customer_id	order_id	military_hour_datetime	time_of_day_text
I74lXDOfoqsp	u6rPMRAYIGig	12	Business Day
47TuLHF2s7X5	ohY8f4FEbX19	17	Business Day
dQ0dqI8Qwlj8	I28liQek73i2	11	Business Day
iQCmWhNkIczb	bBG1T89mlY8W	10	Business Day
Dp2g6JH8tO5Z	CYxJJSQS8Lbo	10	Business Day
s18Fn5Tz7Jml	kUkQCFPtDvrC	21	Evening
9rXAwNe0G0m5	eV98svHRmPNG	6	Morning
o3yCAPMIPtLj	b2tsoISX5lnP	3	Morning
PHGrixjXAt4t	O0D3th8M88nF	23	Evening
K6lNXbhXbvwg	yBTGlSf8GGMV	17	Business Day
WaitNYVtRT2x	OoHJ0WBqlxln	10	Business Day
WDjs7f3Yv8Va	qvrK7ROfp1w6	22	Evening
ViMUFfeZLwv5	uNUwbkr3jhfD	12	Business Day
ZdAOMosp5YDg	j4hiZpWSGa1T	14	Business Day
jVsS0bHgLHcJ	6J3ZtW3UMsR9	13	Business Day
D1KiQOWblWjh	CKtqZeTFa6Ov	12	Business Day
I1orDozbJsZY	e7xeH7PfGWFM	17	Business Day
bincH34GAiat	y7ICBanZzdHp	19	Evening
J534NgM03SXi	bZFqy2PEMhhc	19	Evening
11rzNuxGsM6E	ub5scd3uMflH	16	Business Day
AJoqBQ1l9z0V	yAmRuBPWp1vO	18	Evening
M5goXy4LtmuO	srKcniC9yOFm	20	Evening
eRIr8uMQixin	2Jbr1MhEmkIs	20	Evening
ZOgCiosZBHhF	Tb14VgvCwPuw	23	Evening
Do7ckrlRk5rx	KKm2sesYGRq8	10	Business Day
bjThJDPGWpGK	dwJNR7yxYRLb	10	Business Day
x15nG700z7OG	86uPyTFO0VnJ	13	Business Day
Xh2kQlpOqm8I	KOTqFLF3sprZ	17	Business Day
gqBYWjnoUV7B	RQi6usDkH0z5	13	Business Day
kmlqsg9Gk5uQ	lRPOThT61ZfO	20	Evening
smZvvNLvV8Ez	25pQorIsT9XG	17	Business Day
eOL1qbT6GIl5	CA0KeXrOx4Va	18	Evening
8CH2KOo6b3iE	KnUNh8bnaKd9	16	Business Day
PGfqqeXWFN4T	xYh4tcmBf0pq	9	Business Day
f8I8oYaA7t7w	D5YWaLz32bm9	18	Evening
4LCk55VNuZB7	XhmzJrChXt1C	14	Business Day
kuB5S1kHsjKK	xyukk6AHT526	18	Evening
QGN0QrmHtymT	8LH9cFjaFFLw	19	Evening
l7nqhW5os9MR	WCVW0rJ4udYk	17	Business Day
sQnzUN1MPa8t	pvYF1MU8i064	9	Business Day
S728b0DhidXp	bhMwu9M1F3pM	22	Evening
7HMxp8E7C2sh	iUEMkbaTWXER	17	Business Day
LAEzF0DIX9Ji	sZG0zVMaFAXJ	12	Business Day
MzcqTnXLe10i	u49f51uCjN3j	1	Morning
i41FdkGhLoWC	Whn3HZ9xudbF	18	Evening
8H4jHVTcDgh3	UuMDtqNcmyUC	11	Business Day
IYhLLNrleCkP	v5gjarBxJsbo	12	Business Day
JyQzFoxlhfxF	3TVHEQZQTpNK	1	Morning
sOlw163EqSSe	hJq9LTbltF0f	20	Evening
AZn6IjMeDt40	cqbIl6jpDT2u	17	Business Day
yQ9oNz28zxfb	LB5ptHNQKAFz	22	Evening
Dfs0ckTcmSGd	903k3PvOOCNz	23	Evening
q0PYd7G5N9MV	cv7Hxy6CHEtO	5	Morning
BXCHoEYRBIqM	CscZnJreINZO	17	Business Day
jbTwou52qAzI	mG9DF0eoAvGx	13	Business Day
QsxVntH2qe6q	hCbJt8U6Ww3N	18	Evening
ARtFmdPvH6OX	0llz1DKEU0D0	19	Evening
sB1x80ZUOPiA	liA5pvBYs64o	10	Business Day
ll44jqfknrOb	KNa3m4B9oN3I	20	Evening
t1kuXerPhQiB	KZs2qgGZoOSX	11	Business Day
98aTnBilI6gC	RtGO0hlWZEvO	21	Evening
IH6W6gExtoPS	v4xqa1KwmNvE	11	Business Day
tuUud0RWr7f1	LgBjaoAZT313	9	Business Day
kIt2LC6KHkff	g2feI21w6ZER	2	Morning
QfIM6BS6UQWw	UXFVXUDBBnN2	19	Evening
prSsfCE0cuDh	NiYQcWqn2dx1	22	Evening
u1tSwHWPaOmG	uJxv0BlTzZKk	21	Evening
VkYTBgsP4ahW	Gnt5P2sMZoDE	21	Evening
9hLk4KZPIrdp	EP3hioG5H9fK	6	Morning
ZNkeoW0v2Yz5	Qu1j9oOfSK6t	16	Business Day
bVEGh3nqaNyK	eNNSfcB8zJAv	21	Evening
4nWN1nYcBUUM	KBjiJXcRN9WP	11	Business Day
CJBe5YcVa8BV	7QE67FF0Om5N	23	Evening
njO6UF6KC5oM	bVYJzm2XCyxo	14	Business Day
vGbrlOwsJGNT	blIKUJKqhcAw	14	Business Day
kRrMY3t755nL	glRonpQa8jMJ	20	Evening
FB4qoCQtY78b	MHEaSt8SPeoG	14	Business Day
XUVgmhKGTlCU	cB2f9bMTD38b	23	Evening
FRenfQXwKTr2	GayOlUb6Vmw5	13	Business Day
qXd5XyJFHOOH	DFJtb4hzzmHX	11	Business Day
KBYhryQMswGj	6whGhQyugS0N	16	Business Day
InzL2EFfs1Z4	9NeeIZEF4rYg	0	Morning
TLcN4gqrngCZ	zyqeRBdn2QIz	19	Evening
ZXGtgz22ZuTc	ZPtEC8wwF6WC	16	Business Day
10CMmu85B1xh	n5anh2ES0Qrx	13	Business Day
950pNgLYvrUB	ZAZc30nO7mBG	10	Business Day
GyQLgLcEsyyk	2h0BGlUwGRS1	12	Business Day
R0hdk8rOTHCx	0bLeA89iFL8i	12	Business Day
f2XW6ZIEWnk2	1jjbu6TXyRch	19	Evening
